,R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
60,57,CJ McCollum,PG/SG,POR,70,33.9,0.46  (8.2/17.8),0.85  (2.3/2.7),2.4,21.0,4.0,3.0,0.8,0.4,1.5,3.33
61,58,DeAndre Jordan,C,NYK,69,29.7,0.63  (4.1/6.5),0.71  (2.7/3.8),0.0,11.0,13.1,2.3,0.6,1.1,2.2,3.26
62,59,Julius Randle,PF/C,NOR,73,30.6,0.52  (7.8/14.9),0.73  (4.9/6.7),0.9,21.4,8.7,3.1,0.7,0.6,2.8,3.13
63,60,Otto Porter Jr.,SF/PF,CHI,56,30.1,0.46  (5.3/11.5),0.82  (1.4/1.7),1.9,13.9,5.6,2.1,1.4,0.6,1.2,3.13
64,61,T.J. Warren,SF/PF,PHO,43,31.6,0.49  (6.9/14.2),0.79  (2.3/2.9),1.8,18.0,4.0,1.5,1.2,0.7,1.2,3.12
65,62,Trae Young,PG,ATL,81,30.9,0.42  (6.5/15.5),0.82  (4.2/5.1),1.9,19.1,3.7,8.1,0.9,0.2,3.8,3.06
66,63,Khris Middleton,SG/SF,MIL,77,31.1,0.44  (6.6/14.9),0.82  (2.8/3.4),2.3,18.3,6.0,4.3,1.0,0.1,2.3,3.05
67,64,Nikola Mirotic,SF/PF,MIL,46,27.1,0.44  (5.2/11.8),0.85  (2.3/2.7),2.5,15.2,7.4,1.2,0.7,0.7,1.0,2.98
68,65,Serge Ibaka,PF/C,TOR,74,27.2,0.53  (6.3/11.9),0.75  (1.8/2.4),0.7,15.0,8.1,1.3,0.4,1.4,1.5,2.91
69,R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
70,66,Jonas Valanciunas,C,MEM,49,22.3,0.55  (6.1/11.0),0.79  (3.0/3.8),0.3,15.6,8.6,1.4,0.4,1.1,1.9,2.88
71,67,Dewayne Dedmon,C,ATL,64,25.1,0.49  (4.0/8.2),0.78  (1.4/1.8),1.3,10.8,7.5,1.4,1.1,1.1,1.3,2.82
72,68,Mitchell Robinson,C,NYK,66,20.6,0.70  (3.1/4.4),0.60  (1.2/2.0),0.0,7.3,6.4,0.6,0.8,2.4,0.5,2.70
73,69,Malcolm Brogdon,PG/SG,MIL,64,28.6,0.50  (5.9/11.7),0.92  (2.2/2.4),1.6,15.6,4.5,3.2,0.7,0.2,1.4,2.69
74,70,Lou Williams,PG/SG,LAC,75,26.6,0.43  (6.5/15.2),0.88  (5.7/6.5),1.4,20.0,3.0,5.3,0.7,0.1,2.4,2.58
75,71,Jamal Murray,PG/SG,DEN,75,32.6,0.44  (6.8/15.6),0.83  (2.5/3.0),2.0,18.2,4.2,4.8,0.9,0.4,2.1,2.57
76,72,Jayson Tatum,SF/PF,BOS,79,31.1,0.45  (5.9/13.1),0.83  (2.4/2.9),1.5,15.7,6.0,2.1,1.1,0.7,1.5,2.56
77,73,Luka Doncic,PG/SG/SF,DAL,72,32.2,0.42  (7.0/16.5),0.72  (4.8/6.7),2.3,21.2,7.8,6.0,1.1,0.3,3.4,2.51
78,74,Jeremy Lamb,SG/SF,CHA,79,28.5,0.44  (5.5/12.4),0.88  (2.9/3.3),1.5,15.3,5.5,2.2,1.1,0.4,1.0,2.45
79,75,Josh Richardson,PG/SG/SF,MIA,73,34.8,0.41  (5.8/14.1),0.84  (2.7/3.2),2.2,16.6,3.6,4.1,1.1,0.5,1.5,2.40
80,76,Larry Nance Jr.,PF/C,CLE,67,26.8,0.52  (3.7/7.1),0.70  (1.4/2.0),0.5,9.4,8.2,3.2,1.5,0.6,1.4,2.36
81,77,Montrezl Harrell,PF/C,LAC,82,26.3,0.62  (6.7/10.8),0.64  (3.2/5.0),0.0,16.6,6.5,2.0,0.9,1.3,1.6,2.26
82,78,JJ Redick,SG,PHI,76,31.3,0.44  (5.9/13.5),0.91  (3.0/3.3),3.2,18.0,2.4,2.7,0.4,0.2,1.3,2.00
83,R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
84,79,Joe Ingles,SG/SF,UTA,82,31.3,0.45  (4.4/9.8),0.73  (1.1/1.5),2.3,12.1,4.0,5.7,1.2,0.2,2.4,2.00
85,80,Darren Collison,PG/SG,IND,76,28.2,0.47  (4.1/8.7),0.84  (2.1/2.5),1.0,11.2,3.0,6.0,1.4,0.1,1.6,1.94
86,81,Thaddeus Young,SF/PF,IND,81,30.7,0.53  (5.5/10.4),0.65  (1.1/1.7),0.6,12.6,6.4,2.5,1.5,0.5,1.5,1.91
87,82,Jaren Jackson Jr.,PF/C,MEM,58,26.1,0.50  (5.1/10.2),0.76  (2.6/3.4),0.9,13.8,4.7,1.1,0.9,1.4,1.7,1.91
88,83,Aaron Gordon,SF/PF,ORL,78,33.8,0.45  (6.0/13.4),0.75  (2.4/3.2),1.6,16.0,7.3,3.7,0.7,0.7,2.1,1.90
89,84,Rudy Gay,SF/PF,SAS,69,26.7,0.50  (5.4/10.8),0.81  (1.7/2.1),1.1,13.7,6.8,2.6,0.8,0.5,1.6,1.89
90,85,Jarrett Allen,PF/C,BKN,80,26.2,0.59  (4.2/7.1),0.71  (2.5/3.5),0.1,10.9,8.4,1.4,0.5,1.5,1.3,1.80
91,86,Jerami Grant,SF/PF,OKC,80,32.7,0.50  (5.1/10.3),0.71  (2.0/2.8),1.4,13.6,5.2,1.0,0.8,1.3,0.8,1.73
92,87,Derrick Favors,PF/C,UTA,76,23.2,0.59  (4.8/8.1),0.67  (2.0/3.0),0.2,11.8,7.4,1.2,0.7,1.4,1.1,1.66
93,88,Domantas Sabonis,PF/C,IND,74,24.8,0.59  (5.6/9.5),0.72  (2.8/3.9),0.1,14.1,9.4,2.9,0.7,0.4,2.2,1.65
94,89,Marcus Smart,PG/SG,BOS,80,27.5,0.42  (3.0/7.1),0.81  (1.3/1.6),1.6,8.8,2.9,4.0,1.8,0.4,1.5,1.63
95,90,Kris Dunn,PG/SG,CHI,46,30.2,0.43  (4.7/11.0),0.80  (1.2/1.5),0.7,11.3,4.1,6.0,1.5,0.5,2.3,1.50
96,91,Kelly Oubre Jr.,SF,PHO,69,28.0,0.44  (5.4/12.2),0.77  (2.7/3.5),1.6,15.2,4.7,1.2,1.2,0.9,1.5,1.43
97,R#,PLAYER,POS,TEAM,GP,MPG,FG%,FT%,3PM,PTS,TREB,AST,STL,BLK,TO,TOTAL
98,92,Derrick Rose,PG,MIN,51,27.3,0.48  (7.1/14.8),0.87  (2.7/3.1),1.1,18.0,2.7,4.3,0.6,0.2,1.6,1.43
99,93,Trevor Ariza,SG/SF,WAS,69,34.0,0.40  (4.3/10.7),0.79  (1.9/2.4),2.1,12.5,5.4,3.7,1.3,0.3,1.5,1.41
100,94,Danny Green,SG/SF,TOR,80,27.7,0.47  (3.7/7.9),0.83  (0.5/0.6),2.5,10.3,4.0,1.6,0.9,0.7,0.9,1.39
101,95,Paul Millsap,PF/C,DEN,70,27.1,0.48  (4.6/9.5),0.72  (2.6/3.6),0.8,12.6,7.2,2.0,1.2,0.8,1.4,1.38
102,96,Ricky Rubio,PG,UTA,68,27.9,0.40  (4.3/10.7),0.85  (2.9/3.4),1.2,12.7,3.6,6.1,1.4,0.1,2.6,1.38
103,97,Cody Zeller,PF/C,CHA,49,25.4,0.56  (3.9/7.0),0.79  (2.3/2.9),0.1,10.1,6.8,2.1,0.8,0.9,1.2,1.33
104,98,Jeff Teague,PG,MIN,42,30.1,0.42  (4.2/9.9),0.81  (2.9/3.6),0.8,12.1,2.5,8.2,1.0,0.4,2.3,1.28
105,99,Enes Kanter,C,POR,67,24.5,0.55  (5.6/10.2),0.79  (2.3/2.9),0.1,13.7,9.9,1.7,0.5,0.4,1.8,1.25
106,100,Steven Adams,C,OKC,80,33.4,0.59  (6.0/10.1),0.50  (1.8/3.6),0.0,13.8,9.5,1.6,1.5,1.0,1.7,1.24
